ITEM,Description,short desc,DESC,loc,STOCK,BOX,MC,BN# 1,categoria,barcode
5011446,Linksys LN2308 8-Port 2.5G,LN2308-NA,LN2308-NA,B4A,0,,,,SWITCH,840431701684
5011447,Linksys LN2308P 8-Port 2.5G Po,LN2308P-NA,LN2308P-NA,B4A,0,,,,SWITCH,840431701707
5011507,,,,B4A,0,,,,CABLES,2-102119
5011508,,,,B4A,0,,,,NETWORKING,2-102120
5010679,Ubiquiti UniFi U7-Pro,U7-Pro,U7-Pro,B4B,2,1,,,NETWORKING,810084693650
5010381,XTech HDMI Cable M/M 50ft,XTC-383,XTC-383,B4B,2,1,,,VIDEOC,798302232303
5010280,Linksys Hydra 6 Mesh WiFi 6 Ro,MR20EC,MR20EC,B4B,0,,,,ROUTER,745883841448
5010005,Nexxt NHC-B100 Baby Monitor,NHC-B100,NHC-B100,B4B,0,,,,SECURITY,798302057869
5009792,Linksys 24-Prt Gbe PoE Swtch M,LGS328PC,LGS328PC,B4B,0,,,,SWITCH,745883822287
5006826,Linksys Velop Mesh Router 2PK,WHW0102,WHW0102,B4B,0,,,,ROUTER,745883753840
5009522,Wesdar Webcam 1080P FHD USB,WDA-WEB1080P,WDA-WEB1080P,B4B,0,,,,WEBCAM,7798333604677
5009530,Krom Kode Gaming Headset 7.1,NXKROMKDE,NXKROMKDE,B4B,0,,,,HEADSET,8436532165610
5006889,Nexxt Patch Cable Cat6A 7ft,PCGPCC6ALZ07GR,PCGPCC6ALZ07GR,B4B,382,4,100,82,CABLES,798302034594
5004799,Ubiquiti UniFi AC Lite,UAP-AC-LITE,UAP-AC-LITE,B4B,0,,,,NETWORKING,810354025327
5005331,Tenda 5port Switch 4 POE Ports,TEF1105P,TEF1105P,B4B,0,,,,SWITCH,6932849431100
5005332,Tenda 9port Switch 8 POE Ports,TEG1009P-EI,TEG1009P-EI,B4B,0,,,,SWITCH,885397270249
5006660,Nexxt Patch Cabl Cat5E 50ft RD,AB360NXT58,AB360NXT58,B4B,0,,,,CABLES,798302030282
5007471,Nexxt Wall Mount Enclosure 9U,AW221NXT33,AW221NXT33,B4B,0,,,,NETWORKING,AW221NXT33
5007472,Nexxt Wall Mount Cabinet 6U,AW221NXT32,AW221NXT32,B4B,0,,,,NETWORKING,AW221NXT32
5007686,Thermaltake 3.5 to 2.5 Convert,AC0014,AC0014,B4B,0,,,,ACCESSORIE,4713157526977
5008219,StarTech Patch Cord 125ft Cat6,N6PATCH125GN,N6PATCH125GN,B4B,0,,,,CABLES,65030868891
5008588,Nexxt Wall Mount Cabinet 12U,AW221NXT34,PCRWESKD12U45FXBK,B4B,0,,,,NETWORKING,2-100849
5009076,Nexxt Wall mount Cabinet 6U,AW222NXT32,AW222NXT32,B4B,0,,,,NETWORKING,2-101005
5004797,Dell 65W Laptop Adapter,ADP-65TH F,ADP-65TH F,B4B,0,,,,AC ADAPTER,2-100392
5004835,IOGEAR Wireless Audio Receiver,GBNAR3,GBNAR3,B4B,0,,,,AUDIO,881317511768
5007150,Tzumi Pocket Charger 2600mAh,5731,5731,B4B,0,,,,BATTBANK,841351157315
5007164,Low Porfile 1ft Extention Cabl,Ext Cable,,B4B,0,,,,CABLES,X001GMDFMH
5008212,Startech USB C to DP Adapter,CDP2DPFC,CDP2DPFC,B4B,0,,,,CABLES,65030884501
5008216,StarTech Toslink 15 ft,THINTOS15,THINTOS15,B4B,0,,,,CONNECTORS,65030849623
5008218,Startech DP to DP Cable 6ft,DP14MM2M,DP14MM2M,B4B,0,,,,CABLES,65030880534
5008677,EVGA 500 Bronze PSU,100-BA-0500-K1,100-BA-0500-K1,B4B,0,,,,POWER SUPP,843368064570
5008678,EVGA 600 Bronze PSU,100-BA-0600-K1,100-BA-0600-K1,B4B,0,,,,POWER SUPP,843368064624
5008679,EVGA 700 Bronze PSU,110-BQ-0700-V1,110-BQ-0700-V1,B4B,0,,,,POWER SUPP,843368051372
5008715,GL.iNet Travel AC VPN Router,GL-AR750,GL-AR750,B4B,0,,,,ROUTER,X001MWTW1T
5008720,Tzumi Mini Fridge White,7723WHT,7723WHT,B4B,0,,,,TOOLS,841351177238
5009209,Royal 112MX 12 Sheet Shredder,RY29186X,RY29186X,B4B,0,,,,PRINTER,2-101066
5009210,Royal Pl2112 Laminator,RY29320C,RY29320C,B4B,0,,,,PRINTER,796825177934
5009212,Royal CX6 6-Sheet Shredder,RY29348H,RY29348H,B4B,0,,,,PRINTER,2-101067
5009085,Nexxt Smart WiFi LED Light Str,NHB-S610,NHB-S610,B4B,0,,,,SMARTSWITC,798302056688
5006670,Nexxt Patch Cable Cat6 1ft RD,PCGPCC6CM01RD,PCGPCC6CM01RD,B4B,0,,,,CABLES,798302034563
5009324,TP-Link Archer C50 WiFi Router,ARCHER C50,ARCHER C50,B4B,0,,,,ROUTER,845973091675
5007275,Nexxt Patch Cable Cat6A 7ft BL,NAB-PCS6A7FBL,NAB-PCS6A7FBL,B4B,65,1,,,CABLES,798302033030
5009846,Linksys LGS308 8-Port Switch,LGS308,LGS308,B4B,100,17,6,4,NETWORKING,745883634767
5010335,Grandstream GWN7002 Router,GWN7002,GWN7002,B4B,0,,,,ROUTER,6947273704430
5011103,Grandstream GWN7665 AP,GWN7665,GWN7665,B4B,4,1,,,NETWORKING,6947273704874
5011108,Ubiquiti U7-Lite Access Point,U7-LITE,U7-LITE,B4B,12,1,,,NETWORKING,810084698747
5011495,Ubiquiti U7PROWALL AP,U7-PRO-WALL,U7-PRO-WALL,B4B,4,1,,,NETWORKING,810084695548
5010753,Linksys AC1200 Wi-Fi 5 Router,LN3101-LA,LN3101-LA,B5A,52,13,4,,ROUTER,745883883790
5008680,Linksys 24 Port Gigabit Switch,LGS124,LGS124,B5A,2,1,,,SWITCH,722868998359
2047,Nexxt UTP Cat6 Box 1000 ft,AB356NXT01,AB356NXT01,B5A,4,4,1,,CABLES,798302010192
5007268,Nexxt UTP Cat6 Box 1000 ft BL,AB356NXT02,AB356NXT02,B5A,6,6,1,,CABLES,798302010147
5010954,Grandstream GWN7670 AP,GWN7670,GWN7670,B5A,0,,,,NETWORKING,6947273705536
5011120,Grandstream GWN7062 Router,GWN7062,GWN7062,B5A,0,,,,ROUTER,6947273703600
5009830,Xtech USB-C to USB 6FT Braided,XTC-511,XTC-511,B5A,20,1,,,CABLES,798302230347
5010877,Nexxt NHP-E710 Smart Surge,NHP-E710,NHP-E710,B5A,0,,,,SMARTSWITC,798302058729
5010208,Smart Wi-Fi LED Floor Lamp,NHB-S710,NHB-S710,B5A,0,,,,SMARTSWITC,798302057562
5006151,HP Genuine AC Adapter 90W 19V,ED495AA#ABA,ED495AA#ABA,B5A,0,,,,AC ADAPTER,X0019ON8W9
5010804,Panduit U/UTP Cat6 1000ft BL,NUC6CR04BU-CE,NUC6CR04BU-CE,B5A,0,,,,CABLES,74983490509
5003630,Linksys SE3005 5-Port Switch,SE3005,SE3005,B5A,61,4,20,1,SWITCH,722868997659
5006655,Nexxt Patch Cabl Cat5E 10ft BL,AB360NXT24,AB360NXT24,B5A,12,1,,,CABLES,798302030060
5009948,Nexxt NHS-D100 Smart Door Lock,NHS-D100,NHS-D100,B5A,0,,,,SECURITY,798302057722
5010189,Nexxt UTP Cat6 Box 1000 ft RD,AB356NXT03,AB356NXT03,B5A,0,,,,CABLES,798302010178
5009735,Grandstream GWN7602 AP/Switch,GWN7602,GWN7602,B5A,0,,,,NETWORKING,6947273703006
5005669,Dell 65W AC Adapter LA65NS2-01,LA65NS2-01,LA65NS2-01,B5A,13,1,,,AC ADAPTER,2-100436
5009733,Grandstream GWN7660LR AP,GWN7660LR,GWN7660LR,B5A,0,,,,NETWORKING,6947273703532
5009737,Ubiquiti UniFi AP U6 Pro,U6-Pro,U6-Pro,B5A,0,,,,NETWORKING,810010076830
5002121,Linksys E900 Wireless Router,E900-LA,E900-LA,B5A,0,,,,ROUTER,745883594672
5007467,Nexxt In-Line Coupler CAT6 Shi,PCGINC6SHRJSL,PCGINC6SHRJSL,B5A,0,,,,NETWORKING,798302034105
5006656,Nexxt Patch Cabl Cat5E 10ft RD,AB360NXT25,AB360NXT25,B5A,0,,,,CABLES,798302030077
5009091,Nexxt Smart Wi-Fi Body Scale,NHA-S130,NHA-S130,B5A,0,,,,SMARTSWITC,798302056893
5007017,TP-Link Range Extender 300N,TL-WA855RE,TL-WA855RE,B5A,0,,,,NETWORKING,845973093853
5008692,TP-Link Deco Home Mesh WiFi 3p,DECO E4(3-PACK,DECO E4(3-PACK),B5A,0,,,,ROUTER,6935364086794
5005979,BLOWOFF DUSTER 8oz,BLO-111-113,BLO-111-113,B5A,0,,,,ACCESSORIE,752080111113
5006204,Nexxt Nebula 300+ N-Router,ARN02304U6,ARN02304U6,B5A,0,,,,ROUTER,798302055667
5006650,Nexxt Patch Cord Cat5E 3ft Red,AB360NXT03,AB360NXT03,B5A,0,,,,CABLES,798302020085
5007274,Nexxt Patch Cable Cat6A 7ft GR,NAB-PCS6A7FGR,NAB-PCS6A7FGR,B5A,65,1,,,CABLES,798302034600
5008660,StarTech PatchC 100ft Cat6 WH,N6PATCH100WH,N6PATCH100WH,B5A,0,,,,CABLES,65030838856
5008642,StarTech PatchC 50ft Cat6 BK,C6PATCH50BK,C6PATCH50BK,B5A,0,,,,CABLES,65030804172
5008876,Linksys 5 Port Giga Switch,LGS105,LGS105,B5A,0,,,,NETWORKING,722868997697
5008937,Linksys WRT3200ACM Router,WRT3200ACM,WRT3200ACM,B5A,0,,,,ROUTER,745883714674
5008904,"Argom LCD Bracket 37""-70"" Til",ARG-BR-1347,ARG-BR-1347,B5A,0,,,,TV ACC,886540003776
5009090,Nexxt Smart Wi-Fi photo frame,NHA-P600,NHA-P600,B5A,0,,,,SMARTSWITC,2-101019
5007298,Kensington N17 Combi Lock,K64442WW,K64442WW,B5A,0,,,,ACCESSORIE,85896644422
5008639,StarTech PatchC 150ft Cat6 GR,N6PATCH150GR,N6PATCH150GR,B5A,0,,,,CABLES,65030868686
5011117,Grandstream GWN7605LR Outdoor,GWN7605LR,GWN7605LR,B5A,0,,,,NETWORKING,6947273703228
5009454,Grandstream GWN7615 AP,GWN7615,GWN7615,B5A,0,,,,NETWORKING,6947273703051
5011121,Grandstream GWN7625 AP,GWN7625,GWN7625,B5A,0,,,,NETWORKING,6947273703983
5009457,Grandstream GWN7664 AP,GWN7664,GWN7664,B5A,0,,,,NETWORKING,6947273703716
5009551,Nexxt UTP Cat5E Box 328Ft,AB355NXT21,AB355NXT21,B5A,0,,,,CABLES,798302036086
5009552,Nexxt Fixed Indoor Camera 2Pk,AHIMPFI4U12PK,AHIMPFI4U12PK,B5A,0,,,,SECURITY,798302056275
5009557,Nexxt Axis 24-P Gigabit Switch,ASBRM244U1,ASBRM244U1,B5A,0,,,,SWITCH,798302055940
5009564,"Klipx TV 37""-90"" Swivel Arm",KPM-955,KPM-955,B5A,0,,,,TV ACC,798302077799
2046,Nexxt UTP Cat5E Box 1000 ft,AB355NXT01,AB355NXT01,B5A,0,,,,CABLES,798302030015
5009118,Linksys EA7450 AC1900 MU-MIMO,EA7450,EA7450,B5A,0,,,,ROUTER,745883784301
5009099,Nexxt VektorG2400-AC Mesh Wrls,NCM-G2400P,NCM-G2400P,B5A,0,,,,ROUTER,798302056237
5009845,Nexxt UTP Cat6 Box 1000 ft,AB356NXT31,AB356NXT31,B5A,2,1,,,CABLES,798302036727
5009959,APC PME5B-GR,PME5B-GR,PME5B-GR,B5A,0,,,,ACPOWER,731304347033
5007641,Sabrent USBC Dual 4K Universal,DS-WSPD,DS-WSPD,B5A,0,,,,ACCESSORIE,819921016836
5010142,Grandstream GWN7801P 8p Switch,GWN7801P,GWN7801P,B5A,0,,,,SWITCH,6947273704232
5010260,Ubiquiti UniFi Switch 24,USW-24,USW-24,B5A,0,,,,NETWORKING,810010071378
5010261,Brother PTD220 Label Maker,PTD220,PTD220,B5A,0,,,,PRINTER,12502668862
5008255,Ubiquiti UniFi Standard 16 PoE,USW-16-POE,USW-16-POE,B5A,0,,,,SWITCH,817882028516
5004301,Linksys WiFi Range Exte RE6500,RE6500,RE6500,B5A,0,,,,NETWORKING,745883636242
5007267,Nexxt UTP Cat5E Box 1000 ft Bl,AB355NXT02,AB355NXT02,B5A,0,,,,CABLES,798302010222
5010650,Grandstream GWN7702P Switch,GWN7702P,GWN7702P,B5A,0,,,,SWITCH,6947273704621
5009204,Panduit U/UTP Cat6 1000ft GR,NUC6CR04IG-CE,NUC6CR04IG-CE,B5A,0,,,,CABLES,74983491537
5003629,Linksys SE3008 8-Port Gigabit,SE3008,SE3008,B5A,0,,,,SWITCH,722868997666
5011438,Nexxt UTP Cat5e 1000ft Blue,AB355NXT32,AB355NXT32,B5A,4,2,2,,CABLES,798302036758
5011509,Nexxt NCM-X18002PKBP Mesh,NCM-X18002PKBP,NCM-X18002PKBP,B5A,7,2,4,3,ROUTER,2-102121
5011512,Nexxt NSW-N801G Gigabit Switch,NSW-N801G,NSW-N801G,B5A,0,,,,SWITCH,2-102124
1129,Nexxt Patch Cabl Cat5E 25ft GR,AB360NXT45,AB360NXT45,B5B,66,2,50,16,CABLES,798302030190
5010235,XtechUTP Cat6 Box 1000 ft,XTC-226,XTC-226,B5B,0,,,,CABLES,798302232204
5011118,Grandstream GWN7630 AP,GWN7630,GWN7630,B5B,0,,,,NETWORKING,6947273702870
5010336,Grandstream GWN7700M 5p Switch,GWN7700M,GWN7700M,B5B,12,1,,,SWITCH,6947273704560
5009736,Grandstream GWN7052 Router,GWN7052,GWN7052,B5B,0,,,,ROUTER,6947273703938
5003516,Nexxt Patch Panel 24P Modular,AW192NXT40,AW192NXT40,B5B,0,,,,NETWORKING,798303031431
5008552,Linksys 8 Port Giga PoE Switch,LGS108P,LGS108P,B5B,7,1,,,SWITCH,722868998335
5008293,Linksys MAX-Stream Mesh MR6350,MR6350,MR6350,B5B,0,,,,ROUTER,745883787685
5004770,Nexxt UTP Cable CAT5E 1000ft C,AB355NXT07,AB355NXT07,B5B,0,,,,CABLES,798303031134
5008702,Nexxt Nebula 1200AC PlusRouter,NCR-N1200,NCR-N1200,B5B,0,,,,ROUTER,798302057098
5005528,Nexxt Naxos 8P 10/100 Switch,ASIDT084U3,ASIDT084U3,B5B,0,,,,SWITCH,798302055452
5005966,Linksys WiFi Range Exte RE6400,RE6400,RE6400,B5B,0,,,,NETWORKING,745883702695
5007269,Nexxt Patch Cord Cat5E 3ft OR,PCGPCC5ECM03OR,PCGPCC5ECM03OR,B5B,0,,,,CABLES,798302035942
5005654,Ubiquiti UniFi AC Mesh AP,UAP-AC-M,UAP-AC-M,B5B,0,,,,NETWORKING,810354025785
5007415,Aukey Wifi Smart Plug,SH-PA3,SH-PA3,B5B,0,,,,SMARTSWITC,B07DPL6MTR
5007423,Fire 7 Screen Protector,X002888VQX,X002888VQX,B5B,0,,,,TABLET ACC,X002888VQX
5007454,iHome WI-FI Door/Window Senso,iSB04WC,iSB04WC,B5B,0,,,,SMARTSWITC,47532913095
5007456,Moshi SnapTo Wall Mount Kit,99MO122001,99MO122001,B5B,0,,,,PHONE ACC,4713057256660
5007716,Mophi Charge Wrls Charging Pad,409901794,409901794,B5B,0,,,,PHONE ACC,848467071993
5007855,Razer Sila Wifi Gaming Router,RZ37-02510100-R,RZ37-02510100-R3U1,B5B,0,,,,ROUTER,8886419372042
5008645,TrippLite RJ45 Cat6 Connect 10,N230-100-STR,N230-100-STR,B5B,0,,,,CONNECTORS,37332206077
5008648,ADDON 1GBS DUAL Network Adapt,E1G42ET-AO,E1G42ET-AO,B5B,0,,,,NETWORKING,821455228777
5009847,Linksys LGS310C 8-Port Switch,LGS310C,LGS310C,B5B,170,34,5,,NETWORKING,745883810147
5008165,Linksys WUSB6300 Adapter,WUSB6300,WUSB6300,B5B,0,,,,NETWORKING,745883598403
5009580,Grandstream PoE Adapter 48V,G0720-480-050-U,G0720-480-050-US,B5B,0,,,,POEADAPTER,102315002298
5010222,Forza FVR-1011 AVR,FVR-1011,FVR-1011,B5B,12,1,,,ACPOWER,798302109322
5010993,Linksys Classic Router Pro 6,LN3121-LA,LN3121-LA,B5B,0,,,,ROUTER,745883883813
5010338,Ubiquiti U6+ Access Point,U6+,U6+,B5B,0,,,,NETWORKING,810084691090
5006653,Nexxt Patch Cable Cat5E 3ft Gr,AB360NXT01,AB360NXT01,B5B,35,1,,,CABLES,798302020047
980,Nexxt AW250NXT02 Crimping Tool,AW250NXT02,AW250NXT02,B5B,22,1,,,NETWORKING,0
5011455,Linksys LGS116 Gigabit Switch,LGS116,LGS116,B5B,4,1,,,SWITCH,745883598793
5010716,Bytech 3 Output Powerbank,BY-PB-10-101-BK,BY-PB-10-101-BK,B6A,12,3,4,,BATTBANK,805112044542
5009358,Xtech XTH-230 Headset,XTH-230,XTH-230,B6A,8,1,,,HEADSET,798302230743
4610,Logitech S150 USB Speakers,980-001004,980-001004,B6A,16,2,10,6,SPEAKERS,97855110299
5010860,Anker 312 Charger 25W USB-C,A2642J11-1,A2642J11-1,B6A,0,,,,AC ADAPTER,194644134990
5007584,Argom USB Classic Keyboard,ARG-KB-7424,ARG-KB-7424,B6A,0,,,,KEYBOARD,886540001178
5009931,Argom Bazooka Air BT Spkr BK,ARG-SP-3102BK,ARG-SP-3102BK,B6A,0,,,,SPEAKERS,886540007934
5010585,Xtreme Solar Power Bank BK,XBB8-0176-BLK,XBB8-0176-BLK,B6A,0,,,,ACPOWER,805106202187
5009092,Nexxt Smart WiFi LED 110V MR16,NHB-C3103PK,NHB-C3103PK,B6A,0,,,,SMARTSWITC,798302056930
5010209,"Full Motion TV Mount 37-90""",KTM-956,KTM-956,B6A,0,,,,TV ACC,798302091788
5010384,Nexxt UTP Cat5E Box 100m,AB355NXT41,AB355NXT41,B6A,0,,,,CABLES,798302037021
5008971,Argom 5-Port HDMI Switch 4K,ARG-AV-5125,ARG-AV-5125,B6A,0,,,,VIDEO,886540007637
5007332,Argom Gaming KB55 Keyboard,ARG-KB-2055BK,ARG-KB-2055BK,B6A,0,,,,KEYBOARD,886540004698
5005293,Argom VGA Monitor Cable 6FT,ARG-CB-0075,ARG-CB-0075,B6A,0,,,,VIDEOC,886540003233
5010297,Brother P-Touch PT-H110,PT-H110,PT-H110,B6A,0,,,,PRINTER,12502643890
5009686,Xtech Spider-Man Wired Headset,XTH-M541SM,XTH-M541SM,B6A,0,,,,HEADSET,798302231856
5007047,Xtech Spiral Wired Headphones,XTH-345,XTH-345,B6A,0,,,,HEADSET,798397163483
5009544,Tzumi 19 inch LED Ring Light,7850,7850,B6A,0,,,,PHONE ACC,841351178501
5009635,Microsoft Bluetooth Spanish KB,QHG-00033,QHG-00033,B6A,0,,,,KEYBOARD,889842631036
5010095,Sabrent Rechargeable Mouse Red,MS-RCWM-RB,MS-RCWM-RB,B6A,0,,,,MOUSE,840025201255
5009570,KlipX Oasis KNH-050 BT Headset,KNH-050BK,KNH-050BK,B6A,0,,,,HEADSET,798302090934
5006448,KlipX Fury KHS-620B BT Headset,KHS-620BL,KHS-620BL,B6A,0,,,,HEADSET,798302077348
5008911,Argom SoundBash 78 BT Trolley,ARG-SP-4078BK,ARG-SP-4078BK,B6A,0,,,,SPEAKERS,886540007583
5007797,Xtech Bow-Wow BT Speaker,XTS-612,XTS-612,B6A,0,,,,SPEAKERS,798466164175
5009443,Argom Radyon X42 BT Speaker B,ARG-SP-3142BK,ARG-SP-3142BK,B6A,0,,,,SPEAKERS,886540007446
5009393,Alpha Gaming Combo Pack,7290,7290,B6A,0,,,,KEYBOARD,841351172905
5009015,Forza FVR-1202USB *** 220V ***,FVR-1202USB,FVR-1202USB,B6A,0,,,,ACPOWER,798302108011
5006753,Forza AVR 1200VA/600W 110V,FVR-1211USB,FVR-1211USB,B6A,0,,,,ACPOWER,798302107984
5005273,"Argom 2.5"" Sata HDD Enclosure",ARG-AC-1033,ARG-AC-1033,B6A,0,,,,ACCESSORIE,886540003851
5004347,Argom Mouse Pad Classic Blue,ARG-AC-1233L,ARG-AC-1233L,B6A,0,,,,MOUSE PAD,886540002847
5008492,Argom DrumBeats X BTSpeaker Bk,ARG-SP-3017BK,ARG-SP-3017BK,B6A,0,,,,SPEAKERS,886540007316
5008483,Argom Wrist Rest Pad Gel 360,ARG-AC-1242,ARG-AC-1242,B6A,0,,,,MOUSE PAD,886540006395
5010797,Panduit Patch Cord Cat6 1ft BL,NK6PC1BUY,NK6PC1BUY,B6A,0,,,,CABLES,74983289653
5010798,Panduit Patch Cord Cat6 1ft OW,NK6PC1Y,NK6PC1Y,B6A,23,3,10,3,CABLES,74983289707
